inputs,prediction,expected_output,score,cost
"Passage: In 2009, the Libyan Army (1951-2011) consisted of 25,000 volunteers with an additional 25,000 conscripts (total 50,000). At that time, the army was organised into 11 Border Defence and 4 Security Zones, one regime security brigade, 10 Tank Battalions, 10 Mechanized Infantry Battalions, 18 Infantry Battalions, 6 Commando Battalions, 22 Artillery Battalions, 4 SSM Brigade and 7 Air Defence Artillery Battalions. Khamis Gaddafis 32nd Brigade was one of the main regime protection forces. The Khamis Brigade was considered by US diplomats in 2009 as the most capable of defending the regime. In addition, the Revolutionary Guard Corps also served as a brigade-sized protection force for Gaddafi. In 2009, it emerged that a British Special Air Service team were training Libyan special forces. Under Gaddafi, conscription was listed as 18 months.
Question: Did the army have less tank battalions or infentry battalions, tho?
Answer:",The army had fewer tank battalions (10) than infantry battalions (18).,Tank Battalions|Tank,0.33333333333333337,0.0009011999999999999
"Passage: National Council In the 2015 Swiss federal election, 2015 the most popular party was the Swiss Peoples Party with 25.4% of the vote. The next three most popular parties were the Christian Democratic Peoples Party of Switzerland (22.5%), the FDP.The Liberals (19.5%) and the Social Democratic Party of Switzerland (17.2%). In the federal election, a total of 9,438 votes were cast, and the voter turnout was 55.4%. The 2015 election saw a large change in the voting when compared to 2011. The percentage of the vote received by the SP increased sharply from 6.4% in 2011 to 17.2% in 2015, while the percentage that the Green Party of Switzerland received dropped from 21.3% to 9.5%.
Question: How many % of the populashun did not vote?
Answer:","To find the percentage of the population that did not vote, you can subtract the voter turnout percentage from 100%. 

Given that the voter turnout was 55.4%, the percentage of the population that did not vote is:

100% - 55.4% = 44.6%

Therefore, 44.6% of the population did not vote.",44.6,0.047619047619047616,0.0025602
"Passage: As of the census of 2000, there were 24,621 people, 9,029 households, and 6,284 families residing in the county.  The population density was 73 people per square mile (28/km²).  There were 12,064 housing units at an average density of 36 per square mile (14/km²).  The racial makeup of the county was 97.90% White (U.S. Census), 0.56% African American (U.S. Census), 0.15% Native American (U.S. Census), 0.28% Asian (U.S. Census), 0.02% Pacific Islander (U.S. Census), 0.36% from Race (United States Census), and 0.74% from two or more races. Hispanic (U.S. Census) or Latino (U.S. Census) of any race were 0.93% of the population. 21.3% were of English people, 16.5% Germans, 11.4% Irish people, 10.7% United States, 5.3% danish people and 5.3% Italian people ancestry according to Census 2000.
Question: How many % of peeps were not Germans?
Answer:","To find the percentage of people who were not Germans, we can subtract the percentage of Germans from 100%. According to the passage, 16.5% of the population were Germans.

So, the calculation is:

100% - 16.5% = 83.5%

Therefore, 83.5% of the people were not Germans.",83.5|16.5,0.05128205128205127,0.0014665499999999996
"Passage: According to the 2016 American Community Survey, 78.1% of working Nashville residents commuted by driving alone, 9.8% carpooled, 2% used public transportation, and 2.2% walked. About 1.1% used all other forms of transportation, including taxicab, motorcycle, and bicycle. About 6.7% of working Nashville residents worked at home. In 2015, 7.9% of city of Nashville households were without a car; this figure decreased to 5.9% in 2016. The national average was 8.7 percent in 2016. Nashville averaged 1.72 cars per household in 2016, compared to a national average of 1.8 per household.
Question: Which had the highest avg cars per household in 2016, Nashvile or national?
Answer:","In 2016, the national average was 1.8 cars per household, while Nashville averaged 1.72 cars per household. Therefore, the national average had the highest average cars per household in 2016.",Nashville|national,0.07142857142857142,0.0012614999999999996
"Passage: Skopje, as the Republic of Macedonia as a whole, is characterised by a large ethnic diversity. The city is located in a region where Ethnic Albanians and Macedonians meet, and it welcomed Romani, Turks, Jews and Serbs throughout its history. Skopje was mainly a Muslim city until the 19th century, when large numbers of Christians started to settle there. According to the 2002 census, Macedonians were the largest ethnic group in Skopje, with 338,358 inhabitants, or 66.75% of the population. Then came Albanians with 103,891 inhabitants (20.49%), Roma people with 23,475 (4.63%), Serbs (14,298 inhabitants), Turks (8,595), Bosniaks (7,585) and Vlachs (2,557). 8,167 people did not belong to any of these groups.
Question: How many in % from the census in Skopje weren't Maceedonian?
Answer:","To find the percentage of the population in Skopje that weren't Macedonian according to the 2002 census, we first need to determine the total population and the number of non-Macedonians.

1. Total population of Skopje according to the census:
   - Macedonians: 338,358
   - Albanians: 103,891
   - Roma: 23,475
   - Serbs: 14,298
   - Turks: 8,595
   - Bosniaks: 7,585
   - Vlachs: 2,557
   - Others (not belonging to any of these groups): 8,167

   Total population = 338,358 + 103,891 + 23,475 + 14,298 + 8,595 + 7,585 + 2,557 + 8,167 = 502,026

2. Number of non-Macedonians:
   - Total population - Macedonians = 502,026 - 338,358 = 163,668

3. Percentage of non-Macedonians:
   \[
   \text{Percentage} = \left( \frac{\text{Number of non-Macedonians}}{\text{Total population}} \right) \times 100
   \]
   \[
   \text{Percentage} = \left( \frac{163,668}{502,026} \right) \times 100 \approx 32.54\%
   \]

Therefore, approximately 32.54% of the population in Skopje weren't Macedonian according to the 2002 census.",33.25|169198,0.0,0.0029649
"Passage: Hoping to rebound from their home loss to the Vikings, the Cardinals flew to Gillette Stadium for a Week 16 interconference duel with the New England Patriots. Arizona would trail early in the first quarter as Patriots running back LaMont Jordan got a one-yard and a three-yard touchdown run. The Cardinals' east coast struggles continued in the second quarter as quarterback Matt Cassel completed a 15-yard touchdown pass to running back Kevin Faulk and an 11-yard touchdown pass to wide receiver Wes Welker, followed by kicker Stephen Gostkowski's 38-yard field goal. In the third quarter, Arizona's deficit continued to climb as Cassel completed a 76-yard touchdown pass to wide receiver Randy Moss, followed by Gostkowski's 35- and 24-yard field goal. In the fourth quarter, New England concluded its domination with Gostkowski's 30-yard field goal. The Cardinals would then get a meaningless touchdown as quarterback Matt Leinart completed a 78-yard touchdown pass to wide receiver Larry Fitzgerald. Original starting quarterback Kurt Warner (6/18 for 30 yards) was pulled in the third quarter via coach's decision.
Question: Which team scoored last, huh?
Answer:","The last team to score was the Arizona Cardinals, as quarterback Matt Leinart completed a 78-yard touchdown pass to wide receiver Larry Fitzgerald.",Cardinals,0.09523809523809523,0.0011476499999999996
"Passage: After the teams traded punts on the first four possessions of the game, Pennington led the Jets on a 9-play, 76-yard drive, aided by a pass-interference call on Titans linebacker Peter Sirmon that negated an interception by defensive back Reynaldo Hill, capped off by a 1-yard touchdown run from Kevan Barlow. After another Titans punt, Tennessee head coach Jeff Fisher grew impatient with starting quarterback Kerry Collins, pulling him in favor of rookie quarterback Vince Young. Young drove the Titans to the Jets' 32-yard line, but underthrew receiver David Givens on the next play, and Andre Dyson intercepted. Pennington drove the Jets into the Titans' red zone, completing a 10-yard pass to Sean Ryan, but Ryan was hit hard by Keith Bulluck and fumbled, with Tennessee recovering. However, two plays later, the Jets would get the ball right back, as Collins, inserted back into the game, was intercepted by Dyson, his second of the quarter. Setting up shop at the Titans' 36-yard line, the Jets would capitalize, as Pennington threw an 8-yard touchdown pass to Jerricho Cotchery with 18 seconds left in the first half, but kicker Mike Nugent shanked the extra-point attempt wide right to leave the Jets with a 13-0 halftime lead. Tennessee's woes in the passing game continued as soon as the second half started, with Collins getting intercepted again, this time by Kerry Rhodes, who returned the ball 25 yards to the Tennessee 22. Nugent nailed an 18-yard field goal as the drive stalled at the one-yard line. On the Jets' next possession, Pennington drove to the red zone again, but Nugent missed a 34-yard field goal attempt wide right. On the Jets' next possession, Pennington appeared to find Cotchery on a 2-yard touchdown pass, but the touchdown was nullified by a holding penalty on D'Brickashaw Ferguson. When the drive stalled, Nugent missed another field goal, hitting the right upright from 30 yards out. Tennessee finally capitalized, with Travis Henry scoring on a 3-yard touchdown run with 10:48 left in the game. Tennessee went for two, and brought in Young. Young's pass intended for Bobby Wade was incomplete, but Jets defensive back Derrick Strait was flagged for pass interference, giving the Titans second life. They would take advantage, with Collins handing off to Henry for the conversion. After a trade of punts, the Jets took over on their own 11 with 7:28 to go. On third down, Pennington was sacked by Cortland Finnegan, and Tennessee's Randy Starks recovered at New York's 1-yard line. Tennessee went for two and converted, with Collins finding Drew Bennett open, and the game was tied, 16-16. The Jets came right back, first with Justin Miller returning the ensuing kickoff 41 yards, and then Pennington steadily driving downfield, finding Baker on the 12-yard touchdown pass to cap a 7-play, 57-yard drive. The Jets had to hold on because on the next possession, Collins found Bennett on a 26-yard completion moving the ball to midfield, and he then completed long passes to Ben Troupe and Wade to move the ball to the Jets' 12-yard line with 1:11 to play. The Jets locked down, and on 4th-and-6 from the Jets' 8-yard line, Collins' pass for Bo Scaife was knocked away by Rhodes, ending the game.
Question: How many yars was the longest touchdwn pass, tho?
Answer:",The longest touchdown pass in the passage was an 8-yard touchdown pass from Pennington to Jerricho Cotchery.,12,0.0,0.00034184999999999993
"Passage: There were 20,928 births in 2006. Of these, 19,757 (94.40% of the births, 95.19% of the population) were to Non-Hispanic Whites. There were 22 births to American Indians (0.11% of the births and 0.54% of the population), 177 births to Asians (0.85% of the births and 0.68% of the population), 219 births to Hispanics (1.05% of the births and 0.88% of the population) and 753 births to Blacks and others (3.60% of the births and 3.56% of the population).
Question: What races had bwtween 100 and 500 births?
Answer:","The races that had between 100 and 500 births in 2006 are Hispanics (219 births) and Blacks and others (753 births). However, since 753 is above 500, the only race that fits the criteria of having between 100 and 500 births is Hispanics with 219 births.",Asians and Hispanics|Hispanics and Asians,0.08695652173913045,0.00262425
"Passage: It obtained city rights in 1163 from Count Philip of Flanders. The Battle of Nieuwpoort, between the Dutch and the Spanish, happened here in 1600. The city was a Dunkirker base. Painter Victor Boucquet made two of the altar-pieces for the great church in the 17th century. The city was occupied by French forces for six years between 1757 and 1763, as part of the conditions of the Second Treaty of Versailles between France and Austria. A large waterworks infrastructure project called the Ganzepoot  was constructed in Nieuwpoort in the 19th century to drain the polders and channel water in and around the town and to the North Sea. During the Battle of the Yser, part of the First Battle of Ypres in World War I, Hendrik Geeraert opened the sluice gates on the mouth of the river Yser twice to flood the lower lying land, thus halting the German advance.
Question: How many countrys signed the Second Treaty of Versailles, tho?
Answer:",The Second Treaty of Versailles was signed by two countries: France and Austria.,2,0.0,0.0006067499999999999
"Passage: Law-abiding by nature, Armenian-Cypriots always had a high profile with the British administration and many became conscientious civil servants and disciplined policemen or were employed at the Cyprus Government Railway and at Cable and Wireless. Throughout the 1920s-1950s, many worked at the asbestos mines at Amiandos and the copper mines at Mavrovouni and Skouriotissa, some of whom had been trade unionists. Some Armenian-Cypriots participated in the 1897 Greco-Turkish War, the two World Wars and the EOKA struggle. Also, the Eastern Legion was formed and trained between December 1916 and May 1918 in Monarga village, near Boghazi, consisting of over 4,000 Diasporan Armenian volunteers who fought against the Ottoman Empire. Some Armenian refugees arrived from Palestine and Egypt. The Armenian-Cypriot community prospered throughout the British Era, by establishing associations. In many ways unique across the whole Armenian Diaspora, it was built just outside Nicosia between 1924-1926, after the generous and benevolent donation of the Egyptian-Armenian tobacco trading brothers Krikor and Garabed Melkonian, initially in order to shelter and educate 500 orphans of the Genocide, who planted the trees in front of the school in memory of their slaughtered relatives. From an orphanage , it gradually became a world-renowned secondary school with a boarding section.
Question: What kinda mines did Amiand0s have?
Answer:",Amiandos had asbestos mines.,asbestos|asbestos mines,0.6666666666666666,0.0006592499999999999
