inputs,prediction,expected_output,score,cost
"Passage: The Eagles began their season at Bank of America Stadium for a Week 1 duel with the Carolina Panthers.  Philadelphia trailed early in the first quarter as Panthers running back DeAngelo Williams ran 11 yards for a Carolina touchdown on their first drive.  The Eagles answered with a 49-yard field goal from kicker David Akers. In the second quarter, Philadelphia exploded with points as defensive end Victor Abiamiri returned a fumble 2 yards for a touchdown, wide receiver DeSean Jackson returned a punt 85 yards for a touchdown, and quarterback Donovan McNabb completed a 9-yard TD pass to tight end Brent Celek and a 4-yard touchdown pass to running back Brian Westbrook. Carolina ended the period with kicker John Kasay booting a 22-yard field goal. In the third quarter, the Eagles closed out their scoring with McNabb scoring on a 3-yard touchdown run.  However, he was hit late by several Carolina tacklers who cracked his ribs on the right side, knocking him out of the game. Kevin Kolb came in for McNabb and closed out the game for the victorious Eagles.
Question: Who had the longger TD run, Williams or McNabb?? 🤔
Answer:",DeAngelo Williams,DeAngelo Williams|Williams,1.0,0.01408665
"Passage: Tunis, the capital, has a population of about 700,000, and the second city of Sfax approximately 250,000. The population growth rate measured as births per female has fallen from 7 (1960s) to 2 (2007). Life expectancy is female 75, male 72. The religion is Islam (98%), with 1% Christian, and 1% Jewish and other. Required education is eight years. The official language is Arabic language, with French language also spoken particularly in commercial dealings, and with less than 2% Berber languages. Literacy by definition includes all over 15 years, and is overall 74%, male 83% and female 65%. In 2006, 7.3 million mobile phones were in use and 1.3 million were on the internet; there were 26 television stations and 29 radio stations.  Over half the population is considered urban, with agricultural workers being about 30% of the total. Unemployment in 2000 was about 15.6%, and in 2006 about 13.9%. Over 300,000 Tunisians were reported to be residing in France during 1994. Left out of the recent prosperity were many rural and urban poor, including small businesses facing the world market.
Question: What religions make up lesss than 5% of the populashun?? 🤔
Answer:",Christianity and Judaism/other religions,Christian and Jewish|Christian and Jewish and other,0.28571428571428575,0.0142467
"Passage: at Lincoln Financial Field, Philadelphia|weather= 60&#160;&#176;F (Clear)Following their dominating road win over the 49ers, the Eagles returned home for a Monday Night match-up with the Green Bay Packers.  Early in the game, the Eagles offense struggled with two goal-line fumbles being recovered by the Packers.  In the first quarter, Packers kicker Dave Rayner nailed a 23-yard field goal for the only score of the period.  In the second quarter, Philadelphia would score on QB Donovan McNabb's 6-yard TD run.  However, Green Bay managed to get two more field goals, as Rayner got a 54-yarder and a 46-yarder to end the half.  In the second half, it was all Eagles, as in the third quarter, kicker David Akers got a 40-yard field goal, while McNabb and WR Greg Lewis connected on two touchdown passes of 45 and 30 yards.  In the fourth quarter, the Philly offense wrapped things up as McNabb got a 15-yard TD run, while the defense ended the game on a goal-line stand.  With their victory, the Eagles managed to get their first home win of the season as the team improved to 3-1.
Question: How many yarrds did Donovan McNabb accummulate on passing td's?? 🤔
Answer:",75,75|15|81,1.0,0.015583950000000001
"Passage: The Dutch East India Company  fleet from Batavia sailed at the end of 1620. The fleet consisted of 19 ships, 1,655 European troops and 286 Asian auxiliaries, and was led by Governor-General Jan Pieterszoon Coen. On 21 February 1621, The fleet arrived in Fort Nassau, where it was reinforced by the fort's 250-strong garrison and 36 indigenous vessels. After unsuccessfully trying to recruit Englishmen from the nearby Run and Ay islands, Coen began sending scouts to the coastline of Lontor, the main Bandanese island. The reconnaissance took two days, during which some boats came under cannon fire from the native defenders. The scouts found fortified positions along the Southern coast and in the hills and failed to find a possible beachhead. On 7 March, a VOC probing party landed in the island but was repulsed after suffering one dead and four wounded. On 11 March he ordered a decisive assault. He divided his forces into several groups, which attacked different points in the island. The invaders swiftly captured key strongholds, and by the end of the day the island's northern lowlands and southern promontories. The defenders and local population fled to the hills that made up the island's center, with the Dutch forces in pursuit. By the end of 12 March, the Dutch occupied the whole island, suffering six dead and 27 wounded.
Question: How manyy days aftr a decisve assault ordered did it take for the Dutch to occupy the whole island?? 🤔
Answer:",It took the Dutch 1 day after the decisive assault was ordered on 11 March to occupy the whole island by the end of 12 March.,1,0.08695652173913045,0.014486249999999999
"Passage: In terms of race and ethnicity, Springfield is 51.8% White American, 22.3% African American or African American, 0.6% American Indian and Alaska Native, 2.4% Asian (1.2% Vietnamese, 0.3% Chinese, 0.2% Indian, 0.1% Cambodian, 0.1% Filipino, 0.1% Korean, 0.1% Pakistani, 0.1% Laotian), 0.1% Native Hawaiian and Other Pacific Islander, 18.0% from Some Other Race, and 4.7% from Two or More Races (1.5% White and Black or African American; 1.0% White and Some Other Race). Hispanic and Latino Americans and Latinos of any race made up 38.8% of the population (33.2% Puerto Rican, 1.7% Dominican, 1.0% Mexican, 0.5% Guatemalan, 0.3% Cuban, 0.2% Colombian, 0.2% Spanish, 0.2% Salvadoran, 0.1% Peruvian, 0.1% Ecuadorian, 0.1% Panamanian, 0.1% Costa Rican, 0.1% Honduran). Non-Hispanic Whites were 36.7% of the population in 2010, down from 84.1% in 1970.
Question: How many more ppl, by percent, livin in Springfield who were made up of 2 or more races were White & African American compared to White n some other race??
Answer:",0.5%,.5,0.0,0.012587549999999998
"Passage: Houston is considered an Automobile dependency city, with an estimated 77.2% of commuters driving alone to work in 2016, up from 71.7% in 1990 and 75.6% in 2009. In 2016, another 11.4% of Houstonians carpooled to work, while 3.6% used public transit, 2.1% walked, and 0.5% bicycled. A commuting study estimated that the median length of commute in the region was  in 2012. According to the 2013 American Community Survey, the average work commute in Houston (city) takes 26.3 minutes. A 1999 Murdoch University study found that Houston had both the lengthiest commute and lowest urban density of 13 large American cities surveyed, and a 2017 Arcadis study ranked Houston 22nd out of 23 American cities in transportation sustainability. Harris County is one of the largest consumers of gasoline in the United States, ranking second (behind Los Angeles County, California) in 2013.
Question: How manyy ppl in terms of % did not drive alone to work in 2016??
Answer:",22.8%,22.8,1.0,0.0160965
"Passage: Coming off their road win over the Titans, the Jets went home for a Week 13 duel with the Denver Broncos. The game would be moved from a 1:00 PM start time to a later time due to a more national interest in the Jets hence their 8-3 record. In the first quarter, New York trailed early as Broncos safety Vernon Fox returning a fumble 23 yards for a touchdown.  The Jets would respond with RB Thomas Jones getting a 59-yard TD run, but Denver answered with QB Jay Cutler completing a 59-yard TD pass to WR Eddie Royal, along with kicker Matt Prater making a 25-yard field goal.  In the second quarter, New York drew close as Jones got a 29-yard TD run, yet the Broncos replied with RB Peyton Hillis getting a 1-yard TD run, along with Prater getting a 35-yard field goal. In the third quarer, the Jets tried to rally as kicker Jay Feely nailed a 30-yard field goal.  However, in the fourth quarter, Denver pulled away as Cutler completed a 36-yard TD pass to WR Brandon Stokley.
Question: Which team scored the longest touchdwon pass of the game?? lol
Answer:",Denver Broncos,Denver|Broncos,0.6666666666666666,0.014162099999999999
"Passage: Within one week from the start of Operation Barbarossa, Heydrich issued an order to his Einsatzkommandos for the on-the-spot execution of all Bolsheviks, interpreted by the SS to mean all Jews. One of the first indiscriminate massacres of men, women, and children in Reichskommissariat Ukraine took the lives of over 4,000 Polish Jews in Łuck Ghetto on 2-4 July 1941, murdered by Einsatzkommando 4a assisted by the Ukrainian Peoples Militia. Formed officially on 20 August 1941, the Reichskommissariat Ukraine - stretching from prewar east-central Poland to Crimea - had become operational theatre of the Einsatzgruppe C. Within the Soviet Union proper, between 9 July 1941 and 19 September 1941 the city of Zhytomyr was made Judenfrei in three murder operations conducted by German and Ukrainian police in which 10,000 Jews perished. In the Kamianets-Podilskyi massacre of 26-28 August 1941 some 23,600 Jews were shot in front of open pits (including 14,000-18,000 people expelled from Hungary). After an 1941 Bila Tserkva massacre in which 90 small children left behind had to be shot separately, Paul Blobel requested that Jewish mothers hold them in their arms during mass shootings. Long before the conference at Wannsee, 28,000 Jews were shot by SS and Ukrainian military in Vinnytsia on 22 September 1941, followed by the 29 September massacre of 33,771 Jews at Babi Yar. In Dnipropetrovsk, on 13 October 1941 some 10,000-15,000 Jews were shot. In Chernihiv, 10,000 Jews were put to death and only 260 Jews were spared. In mid-October, during the Kryvyi Rih massacre of 4,000-5,000 Soviet Jews the entire Ukrainian Auxiliary Police force actively participated. In the first days of January 1942 in Kharkiv, 12,000 Jews were murdered, but smaller massacres continued in this period on daily basis in countless other locations. In August 1942 in the presence of only a few German SS men over 5,000 Jews were massacred in Polish Zofjówka by the Ukrainian Auxiliary Police leading to the towns complete sweep from existence.
Question: How many more Jewz were killed than spared in Chernihiv?? 🤔
Answer:","To determine the difference between the number of Jews killed and those spared in Chernihiv, we can analyze the figures provided in the passage. It states that 10,000 Jews were killed and 260 were spared. To find out how many more Jews were killed than spared, we subtract the number of spared Jews from the number of killed Jews:

10,000 (killed) - 260 (spared) = 9,740.

Therefore, 9,740 more Jews were killed than spared in Chernihiv.",9740|740,0.028985507246376812,0.014749499999999999
"Passage: 1% of those at school in the South-East gained no GCSE passes in 2010; Portsmouth was most with 2.5%, and Windsor and Maidenhead had the lowest with 0.2%. For school free school meals, the region has the lowest percentage in England with 7.2%; the highest percentage is Southampton with 17%, and the lowest is Wokingham with 3.5% (the second lowest in England after Rutland); Buckinghamshire is 4.3%, then Bracknell Forest and Surrey are 4.9%. For truancy, the highest is South Bucks at 7.0, then Canterbury 7.0, Portsmouth 6.9, Thanet 6.9, Southampton 6.4, and Rushmoor 6.1. The lowest truancy percentages are for Tandridge 2.5, Windsor & Maidenhead 2.5, and Slough 2.5.
Question: How many more percent points diff was there between free school meals in Southampton n Wokingham??
Answer:",13.5,7.2|13.5,1.0,0.0150879
"Passage: Among Richmond residents, 64.56% residents speak English, 23.13% speak Spanish, 2.11% speak Tagalog language, 1.75% speak Chinese, 1.20% speak Hmong-Mien languages, 1.12% speak Laotian language, 0.72% speak Punjabi language, 0.54% speak Cantonese language, 0.51% speak French, 0.5% speak Vietnamese language, 3.49% speak other languages, none of which represents more than half of one percent of the population.
Question: Which languages r spoken by more than 20% of Richmond's residents?? 🤔
Answer:","English, Spanish",English and Spanish,0.8,0.01528515
