inputs,prediction,expected_output,score,cost
"Passage: After the end of Forty Years' War in 1424, Ava gave up its dream of rebuilding the Pagan Empire. Instead, for the next six decades, it would struggle to hold on to its vassal states. Rebellions arose every time a new king came to power. The new king would have to reestablish his power all over again by gaining the fealty of all the vassal states, usually by show of force. Of these, the remote vassal state of Toungoo , tucked away in the southeastern corner across the Pegu Yoma range, proved most troublesome to successive kings at Ava. Toungoo lords rebelled against Ava in 1426-1440, 1451-1459 and 1468-1470, usually with Pegu's implicit or explicit support. Ava also faced rebellions at Mohnyin  and Prome . The beginning of the end of Ava came in 1480. The new king Minkhaung II was greeted with a multitude of rebellions but it proved to be different this time. The most serious rebellion was by his younger brother, lord of Yamethin. With a serious rebellion so close to Ava, vassal states broke away one by one. The Yamethin rebellion went on until 1500. In 1482, Minkhaung's uncle at Prome successfully revolted, the Prome Kingdom sprang into existence. Ava's vassal Shan states of Mohnyin, Mogaung, Momeik and Kale also broke away in the 1490s. Surprisingly, Ava's steadfast ally during this period was the usually restive vassal of Toungoo which remained loyal to Ava until Minkhaung's death in 1501.
Question: Use only the given passage, output an integer only (no words) to represent How many years did the Yamethin rebellion last. If start or end year is missing output unknown, treat ""went on until YYYY"" as YYYY exclusive, choose years explicitly tied to the Yamethin rebellion.
Answer:",response2,20,0,0.009495599999999996
"Passage: Hoping to rebound from their home loss to the Chargers, the Titans flew to Arrowhead Stadium for a Week 15 intraconference duel with the Kansas City Chiefs. In the first quarter, Tennessee drew first blood as QB Vince Young completed a 16-yard TD pass to WR Roydell Williams for the only score of the period. In the second quarter, the Chiefs tied the game with QB Brodie Croyle completing a 10-yard TD pass to WR Samie Parker. Afterwards, the Titans responded with kicker Rob Bironas managing to get a 37-yard field goal. Kansas City would take the lead prior to halftime with Croyle completing a 9-yard TD pass to FB Kris Wilson. In the third quarter, Tennessee would draw close as Bironas kicked a 37-yard field goal. The Chiefs answered with kicker John Carney getting a 36-yard field goal. Afterwards, the Titans would retake the lead with Young and Williams hooking up with each other again on a 41-yard TD pass. In the fourth quarter, Tennessee clinched the victory with Bironas nailing a 40-yard and a 25-yard field goal. With the win, the Titans kept their playoff hopes alive at 8-6.
Question: Use only the supplied information, output an integer only (no words) to represent How many yards longer was Rob Bironas' longest field goal compared to John Carney's only field goal.
Answer:",response2,4,0,0.010855349999999993
"Passage: The title track, ""My Love Is Your Love (song)"" was the fourth single from the album. It was a massive hit worldwide, becoming another signature song for Whitney. Firstly, the single was released in each country of Europe from June 1999, prior to the United States. Upon release, the song was popular immediately across Europe, and became a bigger hit during her My Love Is Your Love European Tour. In the U.K., it went straight to its peak position, number two, on the singles chart, the issue date of July 3, 1999. The single sold 525,000 copies, becoming the twenty-second best-selling single of 1999. In Germany, it peaked at number two and was certified Platinum for shipments of 500,000 copies by the Bundesverband Musikindustrie (BVMI). It also reached the number two in countries such as Austria, Ireland, the Netherlands, Sweden, and Switzerland. It went to top ten in Belgium, Denmark, France, and Norway. Eventually the single topped the Eurochart Hot 100 for a week, becoming her fourth number one single, and was positioned at number six in the Europes Top Singles list of 1999. In New Zealand, it peaked at number one for a week, which was Houstons third number-one single after 1987s ""I Wanna Dance with Somebody (Who Loves Me)"" and 1992s ""I Will Always Love You"". Likewise, it was a hit in the United States. The song debuted at number eighty-one on the Billboard Hot 100 chart in September 1999 and peaked at number four in January 2000, becoming her 22nd top ten hit. In addition, it reached the number two position on the Hot R&B Singles & Tracks chart, spending a total of twenty-nine weeks on the chart. The single sold 1,100,000 copies and was certified Platinum by the RIAA on December 14, 1999. Worldwide it sold over 3 million copies and became her third best-selling single ever, behind ""I Will Always Love You"" and ""I Wanna Dance with Somebody (Who Loves Me)"", with 12 million and 4.2 million copies sold, respectively.
Question: Use only the supplied information, output a single uppercase letter A–D only to represent Did ""My Love is Your Love"" rank higher in Belgium or Germany. Choose values explicitly tied to the ranking of ""My Love is Your Love"" in Belgium and Germany.
Answer:",response2,Germany,0,0.010942199999999992
"Passage: The popular uprising included large areas of Lower Bavaria, the Innviertel and eastern Bavaria. The lands adjoining towns and strongholds were captured by the rebels and the peasant uprising spread to the Bavarian Forest, parts of the Upper Palatinate and Kelheim on the Danube. A Braunau Parliament meeting was held in December 1705 in the then-Bavarian Braunau. Long before the French Revolution and early German parliamentarianism the meeting was held on 21 December 1705 in an inn belonging to the Baron von Paumgarten; representatives met of the four estates in Bavaria: aristocracy, clergy, burghers and peasants. The Braunau Parliament  is the name of the congress on the defence of the state of Bavaria held at Braunau am Inn convened on 21 December 1705. Following the initial uprising in November 1705, there was little response from the Austrians for nearly two months. However, that changed following an attempt by the rebels to capture the Bavarian capital, Munich. Following their unsuccessful attack, the night of 25 December 1705 saw an Austrian column encounter the peasant army near Sendling outside of Munich.  The battle was known as Sendling's Night of Murder  or the Sendling Christmas Day Massacre. The insurgents from the Bavarian Oberland were defeated and completely routed by Emperor Joseph I's troops. The number of deaths on the Bavarian side in this battle is estimated at around 1,100 men, but the Austrians lost only about 40. Some of the insurgents were killed after they had already surrendered.  About two weeks later, on 8 January 1706, the Battle of Aidenbach ended with the utter defeat of the insurgents and about 4,000 casualties on the Bavarian side. That led to the collapse of the uprising against Austria.
Question: Use only the given passage, output an integer only (no words) to represent How many regions did the popular uprising start in.
Answer:",response2,3,0,0.008989049999999998
"Passage: The Timberwolves debuted on November 3, 1989, losing to the Seattle SuperSonics on the road 106-94. Five days later, they made their home debut at the Hubert H. Humphrey Metrodome, losing to the Chicago Bulls 96-84. Two nights later on November 10, the Wolves got their first win, beating the Philadelphia 76ers at home 125-118. The Timberwolves, led by Tony Campbell with 23.2 ppg, went on to a 22-60 record, finishing in sixth place in the Midwest Division. Playing in the Hubert H. Humphrey Metrodome, the expansion Timberwolves set an NBA record by drawing over 1 million fans to their home games. This included a crowd of 49,551 on April 17, 1990, which saw the Timberwolves lose to the Denver Nuggets 99-88 in the final home game of the season.
Question: Use only the supplied information, output a single uppercase letter A–D only to represent which team lost the game in November of 1989, Timberwolves or SuperSonics.
Answer:",response2,Timberwolves,0,0.008490900000000001
"Passage: For the third straight week, the game got off to an ominous start for the Jets, as Chad Pennington was intercepted by Brian Williams on the Jets' first possession. Byron Leftwich then completed a short pass to Fred Taylor, who turned it into a 32-yard gain. Two plays later, Maurice Jones-Drew scored on a 6-yard touchdown run. After forcing a punt, Jacksonville wasted no time tacking onto their lead, with Leftwich completing passes to Reggie Williams and George Wrighster for long gains. Taylor would then score on a 13-yard touchdown run for a 14-0 Jaguars lead. Early in the second quarter, the Jets attempted a punt, but the Jaguars' Gerald Sensabaugh blocked it, and Jorge Cordova recovered at the Jets' 8-yard line. Three plays later, Jones-Drew scored on a 4-yard touchdown run, surviving a challenge by the Jets. It only snowballed from there, as Pennington was intercepted by Terry Cousin on the next possession, and Leftwich flipped a 1-yard touchdown pass to Wrighster. Jacksonville would add a Josh Scobee 43-yard field goal early in the second half, and after Deon Grant intercepted Pennington, Leftwich threw a 16-yard touchdown pass to Williams for a 38-0 lead. The Jets' lone scoring chance in the second half was stopped when Leon Washington was stuffed on a 4th-and-goal from the Jaguars' 1-yard line early in the fourth quarter. The Jets were stopped on fourth down on their next possession when Pennington's scramble fell a yard short, and Scobee added a 40-yard field goal to close the scoring. On the Jets' final possession, backup rookie quarterback Kellen Clemens made his first appearance under center, but the drive ended badly when he was sacked by Montavious Stanley and Nick Greisen recovered.
Question: Use only the supplied information, output an integer only (no words) to represent How many yards longer was the longest touchdown run than the shortest.
Answer:",response2,9,0,0.010095749999999995
"Passage: In 1994, the Suns reached the playoffs for the first time since 1991. On offense, the team was led by former first round draft choice Shannon Stewart (baseball). Stewart hit .324 with 4 home runs and 25 RBI in an injury-shortened season. Tom Evans (baseball) returned from the 1993 squad, hitting .273 with 13 home runs and 48 RBI in 95 games. The power was supplied by Lorenzo Delacruz and Ryan Jones, who hit 19 and 18 home runs, respectively. Jones also had a team leading 72 RBI. Edwin Hurtado went 11–2 with a 2.95 ERA in 33 games, 16 of which were starts. The bullpen was headlined by Steve Sinclair and Dave Sinnes. Sinclair appeared in 37 games out of the bullpen and picked up a total of 9 wins with 105 innings pitched. Sinclair only made one start for the Suns all year. Closer Sinnes tied for the South Atlantic League lead with 37 saves. The Suns advanced to the league championship. However, the Savannah Sand Gnats beat the Suns to win their second straight championship.
Question: Use only the supplied information, output an integer only (no words) to represent How many home runs had Shannon Stewart and Tom Evans hit in total.
Answer:",response2,17,0,0.00807
"Passage: Coming off their win over the Raiders the 49ers flew to Bank of America Stadium for an NFC duel with the Panthers. In the first quarter the 49ers took the lead as QB Alex Smith got a 1-yard TD pass to TE Vernon Davis. The lead was cut when kicker John Kasay nailed a 47-yard field goal. The 49ers scored with kicker Joe Nedney making a 24-yard field goal. The Panthers tied the game with QB Matt Moore completing an 18-yard TD pass to WR David Gettis. The 49ers fell behind in the third quarter with Kasay booting a 55-yard field goal. They eventually got the lead back in the fourth quarter with Nedney hitting a 38-yard field goal, and with DE Ray McDonald returning an interception 31 yards for a touchdown. However, the Panthers tied the game with Moore finding Gettis again on a 23-yarrd TD pass. Following an interception by 49ers backup quarterback David Carr, Kasay successfully booted a 37-yard field goal to give the 49ers the loss.
Question: Use only the supplied information, output a single uppercase letter A–D only to represent who is the 49ers quarterback.
Answer:",response2,Alex Smith,0,0.010768499999999993
"Passage: As of 2011 the 88,112 residents of Orem had a racial and ethnic composition of 89.3% White American, 0.9% black or African American, 0.9% Native Americans of the United States, 1.6% Asian American, 0.5% Pacific Islanders, 4% non-Hispanics reporting some other race, 2.9% two or more races reported and 14.8% Hispanic, as Orem has a large Mexican American community with other Latinos residing in the city. This contrasts with the census of 2000, which showed a racial makeup of 90.80% White (U.S. Census), 0.33% African American (U.S. Census), 0.73% Native American (U.S. Census), 1.45% Asian (U.S. Census), 0.86% Pacific Islander (U.S. Census), 3.64% from Race (United States Census), and 2.18% from two or more races. Hispanic (U.S. Census) or Latino (U.S. Census) of any race were 8.56% of the population. The 2000 Census counted 84,324 people, 23,382 households, and 19,079 families. The population density at that time was 4,572.6 people per square mile (1,765.6/km²). There were 24,166 housing units at an average density of 1,310.4 per square mile (506.0/km²). There were 23,382 households out of which 48.8% had children under the age of 18 living with them, 69.0% were Marriage living together, 9.5% had a female householder with no husband present, and 18.4% were non-families. 12.4% of all households were made up of individuals and 5.1% had someone living alone who was 65 years of age or older. The average household size was 3.57 and the average family size was 3.93.
Question: Use only the supplied information, output an integer only (no words) to represent How many percent of people were not Native American in 2000. If insufficient evidence, output unknown, and choose values explicitly tied to the year 2000.
Answer:",response2,99.27,0,0.010343249999999995
"Passage: The Bethencourt era ended in 1418 when Maciot sold his holdings and the rights to subjugate the remaining islands to Enrique Pérez de Guzmán. From this point on the intervention of the King of Castile increased. Between 1418 and 1445 dominion over the islands changed hands on a number of occasions. Finally, control over the conquered islands and the right to further conquests fell to Hernán Peraza The Elder and his children Guillén Peraza and Inés Peraza. The death of Guillén Peraza in the attack on La Palma has been immortalized in a moving lament. After the death of her brother Inés and her husband Diego García de Herrera became the sole rulers of the islands until 1477 when they ceded La Gomera to their son Hernán Peraza The Younger and the rights to the conquest of La Palma, Gran Canaria and Tenerife to the King of Castile. The island of La Gomera was not taken in battle but was incorporated into the Peraza-Herrera fiefdom through an agreement between Hernán Peraza The Elder and some of the insular aboriginal groups who accepted the rule of the Castilian. However, there were a number of uprisings by the guanches due to outrages committed by the rulers on the native Gomeros. The last one, in 1488 caused the death of the islands ruler, Hernán Peraza, whose widow, Beatriz de Bobadilla y Ossorio, had to seek the assistance of Pedro de Vera, conqueror of Gran Canaria, in order to snuff out the rebellion. The subsequent repression caused the death of two hundred rebels and many others were sold into slavery in the Spanish markets.
Question: Use only the supplied information, output a single uppercase letter A–D only to represent Who was the father of Inés Peraza.
Answer:",response2,Hernán Peraza The Elder|Hernán Peraza,0,0.011279999999999993
