dataset,variant,N,d,bias_mag_cos,var_cos,rms_cos,rad_bias,rad_std,perp_mean,perp_std,angle_mean_deg,angle_std_deg,bias_mag_raw,var_raw,rms_raw,delta_norm_mean,delta_norm_std,orig_norm_mean,mod_norm_mean
drop,heavy_noise,200,768,0.432956755,0.405275702,0.636612679,-0.296363622,0.133750677,0.68733561,0.12073303,44.36921962,10.41152885,0.432956755,0.405275643,0.636612632,5.96E-10,4.26E-08,1,1
drop,light_noise,200,768,0.156898752,0.248062968,0.498059202,-0.136340082,0.096664906,0.470394522,0.153220341,28.61192198,10.46719062,0.156898737,0.248062938,0.498059172,-2.98E-10,4.52E-08,1,1
drop,moderate_noise,200,768,0.278096914,0.21898964,0.46796329,-0.148163781,0.091712408,0.498498917,0.132146597,30.37237592,9.286810993,0.278096914,0.21898964,0.46796329,1.49E-09,4.06E-08,1,1
drop,paraphrasing,200,768,0.103502803,0.114534065,0.338428818,-0.062623456,0.045999829,0.324193031,0.118777417,19.08726416,7.326734531,0.103502803,0.114534065,0.338428818,-1.19E-09,4.04E-08,1,1
drop,requirements,200,768,0.576472521,0.330214411,0.574642855,-0.331267476,0.053001989,0.739960611,0.049455419,47.89300642,4.159256502,0.576472521,0.330214381,0.574642829,5.96E-10,4.17E-08,1,1
gsm8k,heavy_noise,264,768,0.415975869,0.25958702,0.50949683,-0.216311485,0.064862177,0.612530708,0.080195226,38.01436039,5.925456763,0.415975839,0.25958702,0.50949683,3.39E-09,4.15E-08,1,1
gsm8k,light_noise,264,768,0.325995564,0.185657874,0.430880347,-0.145965487,0.052087128,0.510444641,0.085780352,30.86703529,5.764435907,0.325995535,0.185657874,0.430880347,1.81E-09,4.18E-08,1,1
gsm8k,moderate_noise,264,768,0.346203923,0.206246838,0.454144072,-0.163051978,0.052902203,0.538697779,0.080771923,32.76823211,5.544997724,0.346203893,0.206246808,0.454144039,1.81E-09,4.31E-08,1,1
gsm8k,paraphrasing,264,768,0.08448936,0.082630895,0.287455901,-0.044884678,0.02231643,0.287306249,0.068642683,16.74361282,4.140865364,0.08448936,0.082630895,0.287455901,3.61E-09,4.42E-08,1,1
gsm8k,requirements,264,768,0.214167699,0.107757032,0.328263662,-0.076812409,0.039839488,0.371731073,0.089182422,21.93873837,5.610874898,0.214167684,0.107757032,0.328263662,-6.77E-10,4.48E-08,1,1
hotpotqa,heavy_noise,200,768,0.289436013,0.325946897,0.570917592,-0.204860032,0.084739536,0.591082513,0.105797336,36.63797824,7.804717999,0.289435983,0.325946897,0.570917592,-8.94E-10,4.32E-08,1,1
hotpotqa,light_noise,200,768,0.099180795,0.136094064,0.368909289,-0.072965443,0.051445309,0.349728018,0.12510258,20.67709656,7.783784323,0.099180788,0.136094064,0.368909289,2.68E-09,4.55E-08,1,1
hotpotqa,moderate_noise,200,768,0.163811654,0.206161082,0.454049647,-0.116497666,0.063747711,0.450627029,0.110883459,27.03763851,7.363427161,0.163811654,0.206161067,0.45404963,4.47E-09,4.58E-08,1,1
hotpotqa,paraphrasing,200,768,0.059566118,0.105170861,0.324300572,-0.054359492,0.039275721,0.304897159,0.106109269,17.87961159,6.503471767,0.059566118,0.105170861,0.324300572,1.49E-09,4.52E-08,1,1
hotpotqa,requirements,200,768,0.787690043,0.348646611,0.590463048,-0.484551162,0.073358893,0.852603614,0.044699129,58.84441562,4.931779071,0.787690043,0.348646611,0.590463048,2.98E-10,4.40E-08,1,1
humaneval,heavy_noise,131,768,0.345007539,0.602458143,0.548283262,-0.660744131,0.112710021,0.932656467,0.048517883,69.99682363,7.062170996,0.345007539,1.202457905,1.096566416,1.82E-09,4.48E-08,1,1
humaneval,light_noise,131,768,0.224912995,0.585243845,0.544344524,-0.645406127,0.114116549,0.926641107,0.050761767,69.04603398,7.186800177,0.324912965,1.185243845,1.088689049,-4.55E-10,4.57E-08,1,1
humaneval,moderate_noise,131,768,0.330931187,0.587412381,0.544842266,-0.648463964,0.114261769,0.928012073,0.046480697,69.24781143,7.093512599,0.330931157,1.187412381,1.089684533,1.36E-09,4.68E-08,1,1
humaneval,paraphrasing,131,768,0.038641963,0.042471454,0.206086034,-0.021982335,0.015166724,0.198527575,0.061953243,11.47726034,3.659230732,0.038641963,0.04247145,0.206086025,3.18E-09,4.38E-08,1,1
humaneval,requirements,131,768,0.182148397,0.102065906,0.319477552,-0.067621976,0.025948348,0.354684085,0.064784937,20.8286004,4.003583257,0.182148382,0.102065898,0.31947754,4.55E-09,4.75E-08,1,1
math,heavy_noise,119,768,0.261603445,0.214490846,0.463131564,-0.141463593,0.070739321,0.480558574,0.164239466,29.16111017,10.36241552,0.261603445,0.214490846,0.463131564,3.51E-09,4.46E-08,1,1
math,light_noise,119,768,0.184753269,0.160082489,0.400103098,-0.097108118,0.055026475,0.403190106,0.138549969,24.03685125,8.604841364,0.184753254,0.160082474,0.40010308,2.50E-09,4.33E-08,1,1
math,moderate_noise,119,768,0.211914733,0.174763307,0.418047015,-0.10983558,0.057007194,0.422567487,0.160605758,25.32803704,9.854760859,0.211914733,0.174763307,0.418047015,8.01E-09,4.16E-08,1,1
math,paraphrasing,119,768,0.061511729,0.093724452,0.306144495,-0.048754092,0.032802623,0.291589946,0.095028855,17.04795239,5.774244486,0.061511729,0.093724452,0.306144495,2.50E-09,4.79E-08,1,1
math,requirements,119,768,0.132764786,0.150822237,0.388358387,-0.084224366,0.057737172,0.372314483,0.139295757,22.12088415,8.693288044,0.132764786,0.150822207,0.388358349,3.51E-09,4.53E-08,1,1
mbpp,heavy_noise,341,768,0.411293447,0.334914207,0.578717727,-0.25203827,0.115000851,0.642012179,0.123079196,40.66369856,9.745786045,0.411293447,0.334914207,0.578717727,-2.80E-09,4.27E-08,1,1
mbpp,light_noise,341,768,0.298142195,0.172130376,0.41488598,-0.13050957,0.065967046,0.48082155,0.091898903,28.96986146,6.554081334,0.298142195,0.172130376,0.41488598,8.74E-10,4.09E-08,1,1
